GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
,com.uteq.backend.security,LoginRateLimiter,50,69,5,7,12,13,4,8,1,5
,com.uteq.backend.security,JwtAuthFilter,0,105,1,7,0,32,1,6,0,3
,com.uteq.backend.security,ChatbotRateLimiter,14,56,1,7,5,10,1,7,0,4
,com.uteq.backend.security,JwtService,8,136,1,1,2,40,3,13,2,13
,com.uteq.backend.security,UserDetailsServiceImpl,0,55,0,0,0,14,0,4,0,4
,com.uteq.backend.service,UserAdminService,16,595,9,37,0,112,9,41,1,26
,com.uteq.backend.service,ReservationService,24,480,9,31,1,110,11,30,2,19
,com.uteq.backend.service,SubscriptionAvailabilityService,0,151,0,12,0,29,0,14,0,8
,com.uteq.backend.service,ConfigurationSystemService,26,134,0,2,5,36,2,9,2,8
,com.uteq.backend.service,ChatbotService,45,326,2,14,7,75,4,16,2,10
,com.uteq.backend.service,SuggestionAcquisitionService,37,230,8,8,6,55,9,15,3,13
,com.uteq.backend.service,VerificationEmailService,29,96,0,6,8,22,0,8,0,5
,com.uteq.backend.service,FavoriteService,6,182,0,4,0,33,1,14,1,12
,com.uteq.backend.service,NotificationService,15,411,1,23,0,101,3,28,2,17
,com.uteq.backend.service,BackupService,37,708,13,61,5,118,14,45,3,19
,com.uteq.backend.service,AuthService,79,711,4,28,5,153,12,28,8,16
,com.uteq.backend.service,LoanService,725,718,23,47,102,179,49,46,32,28
,com.uteq.backend.service,FullBackupService,45,296,17,21,7,68,19,17,3,14
,com.uteq.backend.service,CredentialQrService,7,75,0,2,2,17,0,7,0,6
,com.uteq.backend.service,BackupStorageService,22,329,3,25,2,47,3,22,0,11
,com.uteq.backend.service,EmailService,100,73,5,3,20,17,4,4,1,3
,com.uteq.backend.service,BackupScheduleService,136,419,9,27,10,94,14,29,5,20
,com.uteq.backend.scheduling,ReservationScheduler,0,97,0,4,0,34,0,8,0,6
,com.uteq.backend.scheduling,UserScheduler,28,0,2,0,9,0,4,0,3,0
,com.uteq.backend.scheduling,NotificationDueScheduler,5,109,1,3,2,34,1,6,0,5
,com.uteq.backend.repository,BookRepositoryCustomImpl,3,557,3,35,0,87,3,26,0,10
,com.uteq.backend.repository,AuditLogAuditRepositoryCustomImpl,4,215,1,15,0,38,1,14,0,7
,com.uteq.backend.repository,LoanProcedureRepositoryCustomImpl.new Record() {...},0,24,0,0,0,1,0,1,0,1
,com.uteq.backend.repository,LoanProcedureRepositoryCustomImpl.new Record() {...},0,9,0,0,0,1,0,1,0,1
,com.uteq.backend.repository,LoanProcedureRepositoryCustom,8,12,0,0,1,2,1,2,1,2
,com.uteq.backend.repository,LoanProcedureRepositoryCustomImpl,661,2660,53,84,87,320,59,63,9,43
,com.uteq.backend.repository,FineProcedureRepositoryCustomImpl,314,313,8,6,52,48,10,5,3,5
,com.uteq.backend.repository,ReservationProcedureRepositoryCustomImpl,30,3,0,0,6,1,1,1,1,1
,com.uteq.backend.repository,LoanProcedureRepositoryCustomImpl.new Record() {...},0,24,0,0,0,1,0,1,0,1
,com.uteq.backend.repository,LoanProcedureRepositoryCustomImpl.Pagina,0,9,0,0,0,1,0,1,0,1
,com.uteq.backend.repository,LoanProcedureRepositoryCustomImpl.new Record() {...},0,12,0,0,0,1,0,1,0,1
,com.uteq.backend.repository,LoanProcedureRepositoryCustomImpl.new Record() {...},6,0,0,0,1,0,1,0,1,0
,com.uteq.backend.repository,LoanProcedureRepositoryCustomImpl.new Record() {...},0,36,0,0,0,1,0,1,0,1
,com.uteq.backend.repository,LoanProcedureRepositoryCustomImpl.new Record() {...},0,12,0,0,0,1,0,1,0,1
,com.uteq.backend.controller,CategoryDamageController,0,130,0,10,0,20,0,11,0,6
,com.uteq.backend.controller,BookController,0,104,0,0,0,23,0,12,0,12
,com.uteq.backend.controller,BackupController,8,362,6,20,0,61,6,19,0,12
,com.uteq.backend.controller,SubscriptionAvailabilityController,0,67,0,0,0,18,0,6,0,6
,com.uteq.backend.controller,AuditController,0,49,0,0,0,8,0,4,0,4
,com.uteq.backend.controller,FullBackupController,86,162,16,8,11,38,10,11,0,9
,com.uteq.backend.controller,AuthController,0,171,0,4,0,35,0,13,0,11
,com.uteq.backend.controller,ChatbotController,0,20,0,0,0,5,0,3,0,3
,com.uteq.backend.controller,UserAdminController,6,57,0,0,1,12,1,6,1,6
,com.uteq.backend.controller,BackupController.BackupSummaryDTO,3,0,0,0,2,0,1,0,1,0
,com.uteq.backend.controller,StatusBookController,0,25,0,0,0,7,0,3,0,3
,com.uteq.backend.controller,SuggestionAcquisitionController,2,91,1,1,0,21,1,8,0,8
,com.uteq.backend.controller,PublisherController,0,80,0,2,0,18,0,7,0,6
,com.uteq.backend.controller,LanguageController,5,129,1,7,0,28,1,9,0,6
,com.uteq.backend.controller,NotificationController,0,14,0,0,0,4,0,2,0,2
,com.uteq.backend.controller,CategoryController,0,80,0,2,0,18,0,7,0,6
,com.uteq.backend.controller,ConfigurationSystemController,0,19,0,0,0,5,0,3,0,3
,com.uteq.backend.controller,CategoryDamageController.CategoryRequest,0,6,0,0,0,1,0,1,0,1
,com.uteq.backend.controller,PublicBookController,0,34,0,0,0,7,0,4,0,4
,com.uteq.backend.controller,AuthorController,0,71,0,0,0,16,0,6,0,6
,com.uteq.backend.controller,SupplierController,0,222,0,20,0,46,0,18,0,8
